,ff_sent,grocery_sent,unhealthy_sent,healthy_sent,FIPS,Name,State,final_sent,LILATracts_1And10_x,unhealthy1,healthy1,fips_full
0,0.0,-2.0,-2.0,-2.0,01001,Autauga,AL,tie,0.17,no data,no data,1001
1,0.34,-2.0,0.41,0.27,01003,Baldwin,AL,unhealthy,0.1,0.41,0.27,1003
2,0.0,-2.0,-2.0,-2.0,01015,Calhoun,AL,tie,0.23,no data,no data,1015
3,0.39,-2.0,0.36,0.0,01031,Coffee,AL,unhealthy,0.29,0.36,0,1031
4,0.14,-2.0,-2.0,-2.0,01043,Cullman,AL,tie,0.11,no data,no data,1043
5,0.36,-2.0,-2.0,-2.0,01055,Etowah,AL,tie,0.2,no data,no data,1055
6,0.5,-2.0,0.07,-0.13,01069,Houston,AL,unhealthy,0.14,0.07,-0.13,1069
7,0.39,-2.0,0.29,0.22,01073,Jefferson,AL,unhealthy,0.3,0.29,0.22,1073
8,0.36,-2.0,-2.0,-2.0,01077,Lauderdale,AL,tie,0.09,no data,no data,1077
9,0.28,-2.0,0.14,-0.15,01081,Lee,AL,unhealthy,0.41,0.14,-0.15,1081
10,0.37,-2.0,0.35,0.32,01089,Madison,AL,unhealthy,0.18,0.35,0.32,1089
11,0.0,-2.0,-2.0,-2.0,01095,Marshall,AL,tie,0.22,no data,no data,1095
12,0.41,-2.0,0.36,0.4,01097,Mobile,AL,healthy,0.19,0.36,0.4,1097
13,0.42,-2.0,0.36,-0.15,01101,Montgomery,AL,unhealthy,0.35,0.36,-0.15,1101
14,0.59,-2.0,-2.0,-2.0,01103,Morgan,AL,tie,0.11,no data,no data,1103
15,0.15,-2.0,-2.0,-2.0,01109,Pike,AL,tie,0.25,no data,no data,1109
16,0.36,-2.0,0.69,0.0,01117,Shelby,AL,unhealthy,0.02,0.69,0,1117
17,0.16,-2.0,0.02,0.01,01125,Tuscaloosa,AL,unhealthy,0.17,0.02,0.01,1125
18,0.34,-2.0,0.62,0.87,02020,Anchorage,AK,healthy,0.09,0.62,0.87,2020
19,0.33,-2.0,-0.15,0.0,02170,Matanuska-Susitna,AK,healthy,0.12,-0.15,0,2170
20,0.42,-2.0,0.0,-2.0,04003,Cochise,AZ,unhealthy,0.38,0,no data,4003
21,0.0,-2.0,0.79,0.95,04005,Coconino,AZ,healthy,0.36,0.79,0.95,4005
22,0.25,0.25,0.26,0.35,04013,Maricopa,AZ,healthy,0.11,0.26,0.35,4013
23,0.5,-2.0,0.0,-2.0,04015,Mohave,AZ,unhealthy,0.47,0,no data,4015
24,0.37,0.46,0.25,0.1,04019,Pima,AZ,unhealthy,0.12,0.25,0.1,4019
25,0.48,0.42,0.18,0.55,04021,Pinal,AZ,healthy,0.24,0.18,0.55,4021
26,-0.2,-2.0,-2.0,-2.0,04023,Santa Cruz,AZ,tie,0.4,no data,no data,4023
27,0.15,-2.0,0.18,-2.0,04025,Yavapai,AZ,unhealthy,0.31,0.18,no data,4025
28,0.0,-2.0,-0.01,-2.0,04027,Yuma,AZ,unhealthy,0.25,-0.01,no data,4027
29,0.38,-2.0,0.28,0.14,05007,Benton,AR,unhealthy,0.08,0.28,0.14,5007
30,0.38,-2.0,0.62,0.64,05031,Craighead,AR,healthy,0.18,0.62,0.64,5031
31,0.42,-2.0,0.12,0.06,05045,Faulkner,AR,unhealthy,0.08,0.12,0.06,5045
32,0.76,-2.0,0.73,0.6,05051,Garland,AR,unhealthy,0.35,0.73,0.6,5051
33,0.31,-2.0,0.46,0.46,05119,Pulaski,AR,tie,0.27,0.46,0.46,5119
34,0.0,-2.0,-2.0,-2.0,05131,Sebastian,AR,tie,0.08,no data,no data,5131
35,0.28,-2.0,0.65,0.4,05143,Washington,AR,unhealthy,0.22,0.65,0.4,5143
36,0.36,0.26,0.27,0.19,06001,Alameda,CA,unhealthy,0.02,0.27,0.19,6001
37,0.39,-2.0,0.54,0.53,06007,Butte,CA,unhealthy,0.27,0.54,0.53,6007
38,0.25,0.08,0.33,0.22,06013,Contra Costa,CA,unhealthy,0.07,0.33,0.22,6013
39,0.58,0.0,0.46,0.39,06017,El Dorado,CA,unhealthy,0.09,0.46,0.39,6017
40,0.31,-2.0,0.24,0.18,06019,Fresno,CA,unhealthy,0.15,0.24,0.18,6019
41,-0.11,-2.0,0.0,-2.0,06021,Glenn,CA,unhealthy,0.33,0,no data,6021
42,0.15,-2.0,0.75,0.52,06023,Humboldt,CA,unhealthy,0.23,0.75,0.52,6023
43,0.42,-2.0,0.0,0.0,06027,Inyo,CA,tie,0.33,0,0,6027
44,0.39,0.0,0.3,0.28,06029,Kern,CA,unhealthy,0.15,0.3,0.28,6029
45,0.18,-2.0,0.29,0.62,06031,Kings,CA,healthy,0.22,0.29,0.62,6031
46,0.25,0.09,0.3,0.29,06037,Los Angeles,CA,unhealthy,0.03,0.3,0.29,6037
47,0.26,-2.0,-2.0,-2.0,06039,Madera,CA,tie,0.13,no data,no data,6039
48,0.2,0.29,-0.02,0.28,06041,Marin,CA,healthy,0.02,-0.02,0.28,6041
49,0.4,-2.0,-2.0,0.73,06047,Merced,CA,healthy,0.27,no data,0.73,6047
50,0.29,0.0,0.31,0.2,06053,Monterey,CA,unhealthy,0.09,0.31,0.2,6053
51,0.12,0.1,0.25,0.42,06055,Napa,CA,healthy,0.0,0.25,0.42,6055
52,0.12,-2.0,0.39,0.43,06057,Nevada,CA,healthy,0.2,0.39,0.43,6057
53,0.26,0.13,0.27,0.24,06059,Orange,CA,unhealthy,0.01,0.27,0.24,6059
54,0.37,0.42,0.42,0.33,06061,Placer,CA,unhealthy,0.05,0.42,0.33,6061
55,0.28,0.24,0.35,0.29,06065,Riverside,CA,unhealthy,0.13,0.35,0.29,6065
56,0.36,0.18,0.17,0.2,06067,Sacramento,CA,healthy,0.09,0.17,0.2,6067
57,0.32,0.35,0.31,0.29,06071,San Bernardino,CA,unhealthy,0.19,0.31,0.29,6071
58,0.27,0.2,0.3,0.22,06073,San Diego,CA,unhealthy,0.04,0.3,0.22,6073
59,0.32,0.04,0.27,0.21,06075,San Francisco,CA,unhealthy,0.02,0.27,0.21,6075
60,0.2,-2.0,0.46,0.09,06077,San Joaquin,CA,unhealthy,0.07,0.46,0.09,6077
61,0.38,0.44,0.3,0.63,06079,San Luis Obispo,CA,healthy,0.06,0.3,0.63,6079
62,0.13,0.11,0.17,0.28,06081,San Mateo,CA,healthy,0.0,0.17,0.28,6081
63,0.37,0.3,0.36,0.54,06083,Santa Barbara,CA,healthy,0.02,0.36,0.54,6083
64,0.34,0.22,0.27,0.23,06085,Santa Clara,CA,unhealthy,0.02,0.27,0.23,6085
65,0.21,0.53,0.31,0.47,06087,Santa Cruz,CA,healthy,0.12,0.31,0.47,6087
66,0.61,-0.3,-2.0,0.62,06089,Shasta,CA,healthy,0.23,no data,0.62,6089
67,0.43,-2.0,0.46,0.51,06095,Solano,CA,healthy,0.06,0.46,0.51,6095
68,0.5,0.19,0.44,0.16,06097,Sonoma,CA,unhealthy,0.08,0.44,0.16,6097
69,0.28,-2.0,0.19,0.23,06099,Stanislaus,CA,healthy,0.13,0.19,0.23,6099
70,0.36,-2.0,-2.0,-2.0,06101,Sutter,CA,tie,0.24,no data,no data,6101
71,0.46,-2.0,0.01,-0.03,06107,Tulare,CA,unhealthy,0.22,0.01,-0.03,6107
72,0.4,0.21,0.26,0.25,06111,Ventura,CA,unhealthy,0.08,0.26,0.25,6111
73,0.67,0.76,0.21,0.34,06113,Yolo,CA,healthy,0.0,0.21,0.34,6113
74,0.18,-2.0,0.45,0.4,08001,Adams,CO,unhealthy,0.21,0.45,0.4,8001
75,0.28,-2.0,-0.22,0.43,08005,Arapahoe,CO,healthy,0.04,-0.22,0.43,8005
76,0.41,-2.0,0.48,0.27,08013,Boulder,CO,unhealthy,0.06,0.48,0.27,8013
77,0.31,0.96,0.26,0.39,08031,Denver,CO,healthy,0.1,0.26,0.39,8031
78,0.4,-2.0,0.33,0.67,08035,Douglas,CO,healthy,0.0,0.33,0.67,8035
79,0.39,-2.0,0.26,0.21,08037,Eagle,CO,unhealthy,0.07,0.26,0.21,8037
80,0.45,0.44,0.25,0.4,08041,El Paso,CO,healthy,0.21,0.25,0.4,8041
81,0.31,-2.0,-2.0,-2.0,08055,Huerfano,CO,tie,0.0,no data,no data,8055
82,0.28,-2.0,0.42,0.41,08059,Jefferson,CO,unhealthy,0.05,0.42,0.41,8059
83,0.64,-2.0,0.52,0.3,08069,Larimer,CO,unhealthy,0.07,0.52,0.3,8069
84,0.8,-2.0,0.0,0.42,08077,Mesa,CO,healthy,0.28,0,0.42,8077
85,0.16,-2.0,-2.0,0.0,08085,Montrose,CO,healthy,0.5,no data,0,8085
86,0.41,-2.0,0.81,-2.0,08101,Pueblo,CO,unhealthy,0.35,0.81,no data,8101
87,0.46,-2.0,0.37,0.38,08107,Routt,CO,healthy,0.0,0.37,0.38,8107
88,0.23,-2.0,0.56,0.18,08117,Summit,CO,unhealthy,0.0,0.56,0.18,8117
89,0.18,-2.0,0.12,0.45,08123,Weld,CO,healthy,0.14,0.12,0.45,8123
90,0.31,-2.0,0.18,0.18,09001,Fairfield,CT,tie,0.06,0.18,0.18,9001
91,0.32,0.14,0.46,0.39,09003,Hartford,CT,unhealthy,0.06,0.46,0.39,9003
92,0.42,-2.0,0.31,0.39,09005,Litchfield,CT,healthy,0.1,0.31,0.39,9005
93,0.53,-2.0,0.32,0.23,09007,Middlesex,CT,unhealthy,0.03,0.32,0.23,9007
94,0.37,-2.0,0.25,0.08,09009,New Haven,CT,unhealthy,0.11,0.25,0.08,9009
95,0.19,-2.0,0.35,0.0,09011,New London,CT,unhealthy,0.15,0.35,0,9011
96,0.0,-2.0,-0.1,-0.08,09013,Tolland,CT,healthy,0.17,-0.1,-0.08,9013
97,-0.51,-2.0,0.14,0.05,09015,Windham,CT,unhealthy,0.08,0.14,0.05,9015
98,0.5,-2.0,-2.0,0.36,10001,Kent,DE,healthy,0.12,no data,0.36,10001
99,0.39,-2.0,0.39,0.18,10003,New Castle,DE,unhealthy,0.11,0.39,0.18,10003
100,0.29,-2.0,0.55,0.49,10005,Sussex,DE,unhealthy,0.15,0.55,0.49,10005
101,0.24,0.42,0.38,0.35,11001,Washington,DC,unhealthy,0.03,0.38,0.35,11001
102,0.48,-2.0,0.35,0.08,12001,Alachua,FL,unhealthy,0.2,0.35,0.08,12001
1440,-2.0,-2.0,-2.0,-2.0,12003,Baker,FL,tie,0.5,no data,no data,12003
103,0.24,-2.0,0.31,0.8,12005,Bay,FL,healthy,0.09,0.31,0.8,12005
1441,-2.0,-2.0,-2.0,-2.0,12007,Bradford,FL,tie,0.0,no data,no data,12007
104,0.42,-2.0,0.37,0.33,12009,Brevard,FL,unhealthy,0.18,0.37,0.33,12009
105,0.22,0.19,0.41,0.3,12011,Broward,FL,unhealthy,0.05,0.41,0.3,12011
1442,-2.0,-2.0,-2.0,-2.0,12013,Calhoun,FL,tie,0.33,no data,no data,12013
