,grocery_sent,unhealthy_sent,healthy_sent,FIPS,Name_x,State_x,final_sent,Name_y,State_y
0,0.25,0.26,0.35,04013,Maricopa,AZ,healthy,Maricopa,AZ
1,0.46,0.25,0.1,04019,Pima,AZ,unhealthy,Pima,AZ
2,0.42,0.18,0.55,04021,Pinal,AZ,healthy,Pinal,AZ
3,0.26,0.27,0.19,06001,Alameda,CA,unhealthy,Alameda,CA
4,0.08,0.33,0.22,06013,Contra Costa,CA,unhealthy,Contra Costa,CA
5,0.0,0.46,0.39,06017,El Dorado,CA,unhealthy,El Dorado,CA
6,0.0,0.3,0.28,06029,Kern,CA,unhealthy,Kern,CA
7,0.09,0.3,0.29,06037,Los Angeles,CA,unhealthy,Los Angeles,CA
8,0.29,-0.02,0.28,06041,Marin,CA,healthy,Marin,CA
9,0.0,-2.0,-0.12,06045,Mendocino,CA,healthy,Mendocino,CA
10,0.0,0.31,0.2,06053,Monterey,CA,unhealthy,Monterey,CA
11,0.1,0.25,0.42,06055,Napa,CA,healthy,Napa,CA
12,0.13,0.27,0.24,06059,Orange,CA,unhealthy,Orange,CA
13,0.42,0.42,0.33,06061,Placer,CA,unhealthy,Placer,CA
14,0.24,0.35,0.29,06065,Riverside,CA,unhealthy,Riverside,CA
15,0.18,0.17,0.2,06067,Sacramento,CA,healthy,Sacramento,CA
16,0.35,0.31,0.29,06071,San Bernardino,CA,unhealthy,San Bernardino,CA
17,0.2,0.3,0.22,06073,San Diego,CA,unhealthy,San Diego,CA
18,0.04,0.27,0.21,06075,San Francisco,CA,unhealthy,San Francisco,CA
19,0.44,0.3,0.63,06079,San Luis Obispo,CA,healthy,San Luis Obispo,CA
20,0.11,0.17,0.28,06081,San Mateo,CA,healthy,San Mateo,CA
21,0.3,0.36,0.54,06083,Santa Barbara,CA,healthy,Santa Barbara,CA
22,0.22,0.27,0.23,06085,Santa Clara,CA,unhealthy,Santa Clara,CA
23,0.53,0.31,0.47,06087,Santa Cruz,CA,healthy,Santa Cruz,CA
24,-0.3,-2.0,0.62,06089,Shasta,CA,healthy,Shasta,CA
25,0.19,0.44,0.16,06097,Sonoma,CA,unhealthy,Sonoma,CA
26,0.21,0.26,0.25,06111,Ventura,CA,unhealthy,Ventura,CA
27,0.76,0.21,0.34,06113,Yolo,CA,healthy,Yolo,CA
28,0.96,0.26,0.39,08031,Denver,CO,healthy,Denver,CO
29,0.44,0.25,0.4,08041,El Paso,CO,healthy,El Paso,CO
30,0.14,0.46,0.39,09003,Hartford,CT,unhealthy,Hartford,CT
31,0.42,0.38,0.35,11001,Washington,DC,unhealthy,Washington,DC
32,0.19,0.41,0.3,12011,Broward,FL,unhealthy,Broward,FL
33,0.25,0.31,0.3,12071,Lee,FL,unhealthy,Lee,FL
34,0.36,0.38,0.43,12103,Pinellas,FL,healthy,Pinellas,FL
35,0.32,0.83,0.62,12123,Taylor,FL,unhealthy,Taylor,FL
36,0.0,0.2,0.48,13051,Chatham,GA,healthy,Chatham,GA
37,0.0,0.27,0.15,13063,Clayton,GA,unhealthy,Clayton,GA
38,-0.05,0.48,0.22,13067,Cobb,GA,unhealthy,Cobb,GA
39,0.0,0.36,0.87,13077,Coweta,GA,healthy,Coweta,GA
40,-0.05,0.22,0.32,13089,De Kalb,GA,healthy,De Kalb,GA
41,0.58,-2.0,0.0,13097,Douglas,GA,healthy,Douglas,GA
42,-0.21,0.73,0.0,13113,Fayette,GA,unhealthy,Fayette,GA
43,0.45,0.27,0.3,13121,Fulton,GA,healthy,Fulton,GA
44,0.0,0.47,0.22,13135,Gwinnett,GA,unhealthy,Gwinnett,GA
45,-0.15,-0.06,0.22,13139,Hall,GA,healthy,Hall,GA
46,0.01,0.36,0.27,15003,Honolulu,HI,unhealthy,Honolulu,HI
47,0.0,0.23,0.39,15009,Maui,HI,healthy,Maui,HI
48,0.39,0.34,0.38,16001,Ada,ID,healthy,Ada,ID
49,0.4,0.48,0.54,16055,Kootenai,ID,healthy,Kootenai,ID
50,0.1,0.29,0.31,17031,Cook,IL,healthy,Cook,IL
51,-0.21,0.23,0.11,17043,Du Page,IL,unhealthy,Du Page,IL
52,0.48,0.37,0.13,17089,Kane,IL,unhealthy,Kane,IL
53,0.22,0.2,0.43,17097,Lake,IL,healthy,Lake,IL
54,0.0,0.38,0.0,17115,Macon,IL,unhealthy,Macon,IL
55,-0.13,-2.0,-0.13,18067,Howard,IN,healthy,Howard,IN
56,0.0,0.26,0.36,18097,Marion,IN,healthy,Marion,IN
57,0.0,0.34,0.27,18105,Monroe,IN,unhealthy,Monroe,IN
58,0.0,0.11,0.49,18141,St Joseph,IN,healthy,St Joseph,IN
59,0.0,0.34,-0.08,19049,Dallas,IA,unhealthy,Dallas,IA
60,0.38,0.61,0.38,21059,Daviess,KY,unhealthy,Daviess,KY
61,0.0,0.16,0.21,21067,Fayette,KY,healthy,Fayette,KY
62,0.0,0.31,0.3,21111,Jefferson,KY,unhealthy,Jefferson,KY
63,-0.53,0.0,0.0,21145,McCracken,KY,unhealthy,McCracken,KY
64,0.0,0.07,0.3,21227,Warren,KY,healthy,Warren,KY
65,0.18,0.18,0.21,22017,Caddo,LA,healthy,Caddo,LA
66,0.32,0.21,0.46,22019,Calcasieu,LA,healthy,Calcasieu,LA
67,0.0,0.5,0.14,22033,East Baton Rouge,LA,unhealthy,East Baton Rouge,LA
68,0.67,0.1,0.05,22051,Jefferson,LA,unhealthy,Jefferson,LA
69,0.0,0.65,0.22,22055,Lafayette,LA,unhealthy,Lafayette,LA
70,0.84,0.33,0.21,22071,Orleans,LA,unhealthy,Orleans,LA
71,0.49,-2.0,-2.0,22079,Rapides,LA,tie,Rapides,LA
72,0.0,0.19,0.19,24005,Baltimore,MD,unhealthy,Baltimore,MD
73,0.0,0.29,0.24,24031,Montgomery,MD,unhealthy,Montgomery,MD
74,0.0,0.19,0.36,24510,Baltimore City,MD,healthy,Baltimore City,MD
75,0.0,0.37,0.3,25017,Middlesex,MA,unhealthy,Middlesex,MA
76,0.0,0.41,0.16,25021,Norfolk,MA,unhealthy,Norfolk,MA
77,0.74,0.29,0.31,25025,Suffolk,MA,healthy,Suffolk,MA
78,0.0,0.21,0.21,26093,Livingston,MI,healthy,Livingston,MI
79,0.27,0.31,0.36,26099,Macomb,MI,healthy,Macomb,MI
80,0.0,-2.0,-2.0,26115,Monroe,MI,tie,Monroe,MI
81,0.0,0.32,0.4,26125,Oakland,MI,healthy,Oakland,MI
82,0.17,0.27,0.28,26163,Wayne,MI,healthy,Wayne,MI
83,0.39,0.28,0.24,27053,Hennepin,MN,unhealthy,Hennepin,MN
84,0.85,-0.3,0.06,27137,St Louis,MN,healthy,St Louis,MN
85,0.51,0.23,0.18,32003,Clark,NV,unhealthy,Clark,NV
86,-0.06,0.37,0.36,34003,Bergen,NJ,unhealthy,Bergen,NJ
87,0.0,0.04,0.41,34005,Burlington,NJ,healthy,Burlington,NJ
88,0.21,0.08,0.21,34007,Camden,NJ,healthy,Camden,NJ
89,0.0,0.35,0.31,36029,Erie,NY,unhealthy,Erie,NY
90,0.0,0.26,0.32,36047,Kings,NY,healthy,Kings,NY
91,0.66,0.24,0.21,36059,Nassau,NY,unhealthy,Nassau,NY
92,-0.02,0.35,0.3,36061,New York,NY,unhealthy,New York,NY
93,0.0,0.19,0.38,36119,Westchester,NY,healthy,Westchester,NY
94,0.17,0.31,0.26,37119,Mecklenburg,NC,unhealthy,Mecklenburg,NC
95,0.0,0.22,0.27,37183,Wake,NC,healthy,Wake,NC
96,0.0,0.31,0.27,39017,Butler,OH,unhealthy,Butler,OH
97,0.72,0.12,0.22,39041,Delaware,OH,healthy,Delaware,OH
98,0.2,0.29,0.25,39049,Franklin,OH,unhealthy,Franklin,OH
99,0.0,0.3,0.69,39057,Greene,OH,healthy,Greene,OH
100,0.18,0.35,0.38,39061,Hamilton,OH,healthy,Hamilton,OH
101,0.61,0.18,0.25,39083,Knox,OH,healthy,Knox,OH
102,0.25,0.27,0.25,39095,Lucas,OH,unhealthy,Lucas,OH
103,0.36,0.23,0.22,39113,Montgomery,OH,unhealthy,Montgomery,OH
104,0.0,-2.0,-2.0,39145,Scioto,OH,tie,Scioto,OH
105,0.69,0.32,0.28,39165,Warren,OH,unhealthy,Warren,OH
106,0.09,0.9,-2.0,39173,Wood,OH,unhealthy,Wood,OH
107,0.0,0.34,0.29,40109,Oklahoma,OK,unhealthy,Oklahoma,OK
108,0.06,0.27,0.23,41051,Multnomah,OR,unhealthy,Multnomah,OR
109,-0.46,0.38,0.56,41053,Polk,OR,healthy,Polk,OR
110,0.0,0.31,0.13,41067,Washington,OR,unhealthy,Washington,OR
111,0.0,0.3,0.13,42003,Allegheny,PA,unhealthy,Allegheny,PA
112,0.9,0.38,0.45,42017,Bucks,PA,healthy,Bucks,PA
113,0.0,0.2,0.35,42029,Chester,PA,healthy,Chester,PA
114,-0.23,0.01,0.23,42091,Montgomery,PA,healthy,Montgomery,PA
115,-0.22,0.38,0.31,42101,Philadelphia,PA,unhealthy,Philadelphia,PA
116,-0.67,0.34,0.2,44007,Providence,RI,unhealthy,Providence,RI
117,-0.06,0.28,0.39,45051,Horry,SC,healthy,Horry,SC
118,0.54,0.45,0.32,45079,Richland,SC,unhealthy,Richland,SC
119,0.24,0.33,0.28,47037,Davidson,TN,unhealthy,Davidson,TN
120,0.0,0.34,0.24,47093,Knox,TN,unhealthy,Knox,TN
121,0.92,0.42,0.49,47149,Rutherford,TN,healthy,Rutherford,TN
122,0.0,0.47,0.32,47157,Shelby,TN,unhealthy,Shelby,TN
123,-0.23,0.57,0.0,47179,Washington,TN,unhealthy,Washington,TN
124,0.77,0.48,0.47,47187,Williamson,TN,unhealthy,Williamson,TN
125,0.6,0.52,0.56,48039,Brazoria,TX,healthy,Brazoria,TX
126,0.71,0.05,0.48,48041,Brazos,TX,healthy,Brazos,TX
127,0.69,0.36,0.25,48085,Collin,TX,unhealthy,Collin,TX
128,0.34,0.37,0.37,48113,Dallas,TX,healthy,Dallas,TX
129,0.64,0.24,0.27,48121,Denton,TX,healthy,Denton,TX
