,LILATracts_1And10,keyword,text,coords,lat,long,comp
1001020100,0,,,,,,
1001020200,0,,,,,,
1001020300,0,,,,,,
1001020400,0,,,,,,
1001020500,0,,,,,,
1001020600,0,,,,,,
1001020700,1,,,,,,
1001020801,0,,,,,,
1001020802,0,,,,,,
1001020900,0,,,,,,
1001021000,0,,,,,,
1001021100,1,,,,,,
1003010100,0,,,,,,
1003010200,0,,,,,,
1003010300,0,,,,,,
1003010400,0,,,,,,
1003010500,0,,,,,,
1003010600,1,,,,,,
1003010701,0,,,,,,
1003010703,0,,,,,,
1003010704,0,,,,,,
1003010705,0,,,,,,
1003010800,0,asparagus,"One of Cousin Vinnys pasta specials today! Grilled Chicken Linguine with asparagus, onions, and artichoke hearts in a spicy marinara!  #Vinnys #pastaspecial #pasta #comeeat #daphne ","[30.60329762, -87.90282055]",30.60329762,-87.90282055,0.0
1003010800,0,chicken,"One of Cousin Vinnys pasta specials today! Grilled Chicken Linguine with asparagus, onions, and artichoke hearts in a spicy marinara!  #Vinnys #pastaspecial #pasta #comeeat #daphne ","[30.60329762, -87.90282055]",30.60329762,-87.90282055,0.0
1003010903,0,,,,,,
1003010904,0,,,,,,
1003010905,0,,,,,,
1003010906,0,,,,,,
1003011000,0,,,,,,
1003011101,0,,,,,,
1003011102,0,,,,,,
1003011201,0,,,,,,
1003011202,0,,,,,,
1003011300,0,,,,,,
1003011401,0,,,,,,
1003011403,0,,,,,,
1003011405,0,bean,Awesome!! - Drinking a Judge Roy Bean by @fairhopebrewing @ Doc's Seafood Shack &amp; Oyster Bar   ,"[30.2924, -87.581]",30.2924,-87.581,0.6892
1003011405,0,orange,"Morning Vibes  @ Orange Beach, Alabama ","[30.2915, -87.562]",30.2915,-87.56200000000001,0.0
1003011405,0,orange,"Until next time... @ Orange Beach, Alabama ","[30.2915, -87.562]",30.2915,-87.56200000000001,0.0
1003011405,0,orange,"Island  Life  #orangebeach #islandfever #islandgirl #islandlifeforever @ Orange Beach, Alabama ","[30.2915, -87.562]",30.2915,-87.56200000000001,0.0
1003011405,0,orange,Not a bad way to spend the afternoon #sunset #onthewater #orangebeachalabama #islandtimetoursandcharters #orangebeachfitness #happyhumpday #workfromhome #islandgirl #islandlife @ Orange ,"[30.2915, -87.562]",30.2915,-87.56200000000001,0.431
1003011405,0,orange,"nothing better than spending a week in paradise with your best friends  @ Orange Beach, Alabama ","[30.2915, -87.562]",30.2915,-87.56200000000001,0.8777
1003011405,0,orange,"Teddy got his first pitching in a varsity game today! #livingwithboys @ Orange Beach, Alabama ","[30.2915, -87.562]",30.2915,-87.56200000000001,0.0
1003011405,0,orange,"Catch the Lady Panthers back in action vs Madison (away) next week on Monday April 1 @ Orange Beach, Alabama ","[30.2915, -87.562]",30.2915,-87.56200000000001,0.0
1003011405,0,orange,"I'm at Orange Beach, AL in AL ","[30.29434069, -87.57361472]",30.29434069,-87.57361472,0.0
1003011405,0,orange,"Just posted a photo @ Orange Beach, Alabama ","[30.2915, -87.562]",30.2915,-87.56200000000001,0.0
1003011405,0,orange,"Happy Hump Day = Beach Day! Beach @ Perdido Pass, Orange Beach AL ","[30.27749352, -87.55618467]",30.27749352,-87.55618467,0.6114
1003011405,0,orange,"Mattie just hit her a two run dinger!!!! @ Orange Beach, Alabama ","[30.2915, -87.562]",30.2915,-87.56200000000001,0.0
1003011406,0,orange,"SpringHill Suites Orange Beach at The Wharf is hiring in #OrangeBeach, AL! Click the link in our bio to apply: Night Auditor #security","[30.2697033, -87.5867598]",30.2697033,-87.5867598,0.0
1003011406,0,orange,"TONIGHT at The Club at Live Bait in Orange Beach, AL: DYNOHUNTER - Charlie Hustle - Loaded Gunn - DJ BTK! Entry is ONLY $10.00! #PassTheGood #Dynohunter #LiveBait #OrangeBeach #Alabama ","[30.26441573, -87.61014586]",30.26441573,-87.61014586,0.0
1003011406,0,orange,"Want to work in Orange Beach, AL? View our latest opening:  #KellyJobs #KellyServices","[30.2697033, -87.5867598]",30.2697033,-87.5867598,0.0772
1003011406,0,orange,"Tomorrow night at The Club at Live Bait in Orange Beach, AL; we have DYNOHUNTER / Charlie Hustle / Loaded Gunn! You do not want to miss these guys throw down, they just killed it last ","[30.26441573, -87.61014586]",30.26441573,-87.61014586,-0.6778
1003011406,0,orange,"Interested in a job in #OrangeBeach, AL? This could be a great fit:  #FacilitiesMgmt","[30.2697033, -87.5867598]",30.2697033,-87.5867598,0.8519
1003011406,0,orange,"Join the Starbucks team! See our latest #Retail job openings, including ""barista - Store# 24727, PERDIDO BEACH &amp; ORANGE BEACH -"", via the link in our bio. #OrangeBeach, AL","[30.2697762, -87.5877716]",30.2697762,-87.5877716,0.3595
1003011406,0,orange,"This Saturday, we have THE WIDDLER at The Club at Live Bait in Orange Beach, AL w/ Kineption, Kvbm, &amp; Skiz! This is our most anticipated show of March! #SpringBreak #PassTheGood #LiveBait ","[30.26441573, -87.61014586]",30.26441573,-87.61014586,0.0
1003011406,0,orange,"SpringHill Suites Orange Beach at The Wharf is hiring in Orange Beach, AL! Read about our latest #Hospitality job opening via the link in our bio: Housekeeping Supervisor #housekeeper","[30.2697033, -87.5867598]",30.2697033,-87.5867598,0.0
1003011407,1,spinach,Crab and spinach dip at our favorite lunch spot! One of the best places to eat on the island!! Yall must visit the drunkenshrimp59  and tell Teddy I sent you! I adore days our girl comes ,"[30.26196, -87.68882]",30.26196,-87.68881999999999,0.918
1003011408,0,,,,,,
1003011501,0,,,,,,
1003011502,1,orange,Amazing trick. How does he do that!!!  Be sure to check out the #brandonstyles show when you are in Gulf Shores/Orange Beach area. #magictricks #downtownowa @ The Park at OWA ,"[30.3737323, -87.65804787]",30.373732300000004,-87.65804787,0.7767
1003011601,0,,,,,,
1003011602,0,,,,,,
1005950100,1,,,,,,
1005950200,0,,,,,,
1005950300,1,,,,,,
1005950400,0,,,,,,
1005950500,0,,,,,,
1005950600,0,,,,,,
1005950700,0,,,,,,
1005950800,0,,,,,,
1005950900,1,,,,,,
1007010001,0,,,,,,
1007010002,0,,,,,,
1007010003,0,,,,,,
1007010004,0,,,,,,
1009050101,0,,,,,,
1009050102,0,,,,,,
1009050200,0,,,,,,
1009050300,0,,,,,,
1009050400,0,,,,,,
1009050500,0,,,,,,
1009050601,0,,,,,,
1009050602,0,,,,,,
1009050700,0,,,,,,
1011952100,1,,,,,,
1011952200,0,,,,,,
1011952500,1,,,,,,
1013952700,0,,,,,,
1013952800,0,,,,,,
1013952900,0,,,,,,
1013953000,1,,,,,,
1013953100,1,,,,,,
1013953200,1,,,,,,
1013953300,0,,,,,,
1013953400,0,,,,,,
1013953500,0,,,,,,
1015000200,0,,,,,,
1015000300,0,,,,,,
1015000400,1,,,,,,
1015000500,0,,,,,,
1015000600,0,,,,,,
1015000700,0,,,,,,
1015000800,0,,,,,,
1015000900,0,,,,,,
1015001000,0,,,,,,
1015001100,0,,,,,,
1015001201,1,,,,,,
1015001202,0,,,,,,
1015001300,1,,,,,,
1015001400,0,,,,,,
1015001500,0,,,,,,
1015001600,1,,,,,,
1015001700,0,,,,,,
1015001800,1,,,,,,
1015002000,0,,,,,,
1015002101,1,,,,,,
1015002102,0,,,,,,
1015002103,1,,,,,,
1015002200,0,,,,,,
1015002300,0,,,,,,
1015002400,0,,,,,,
1015002501,0,,,,,,
1015002502,0,,,,,,
1015002600,0,,,,,,
1015981901,0,,,,,,
1015981902,0,,,,,,
1015981903,0,,,,,,
1017953800,0,,,,,,
1017953900,0,,,,,,
1017954000,0,,,,,,
1017954200,0,,,,,,
1017954300,0,,,,,,
1017954400,1,,,,,,
1017954500,1,,,,,,
1017954600,0,,,,,,
1017954700,1,,,,,,
1019955701,0,,,,,,
1019955702,0,,,,,,
1019955800,0,,,,,,
1019955900,0,,,,,,
1019956000,0,,,,,,
1019956100,0,,,,,,
1021060101,0,,,,,,
1021060102,1,,,,,,
1021060200,0,,,,,,
1021060300,0,,,,,,
1021060401,0,,,,,,
1021060402,0,,,,,,
1021060500,0,,,,,,
1021060600,0,,,,,,
1021060700,0,,,,,,
1023956700,1,,,,,,
1023956800,0,,,,,,
1023956900,0,,,,,,
1023957000,0,,,,,,
1025957500,0,,,,,,
1025957601,0,,,,,,
1025957602,0,,,,,,
1025957700,0,,,,,,
1025957800,1,,,,,,
1025957901,0,,,,,,
1025957902,1,,,,,,
1025958001,0,,,,,,
1025958002,1,,,,,,
1027958900,0,,,,,,
1027959000,0,,,,,,
1027959100,0,,,,,,
1027959200,0,,,,,,
1029959500,0,,,,,,
1029959600,0,,,,,,
1029959700,0,,,,,,
1029959800,0,,,,,,
1031010100,1,,,,,,
1031010200,1,,,,,,
1031010300,0,rice,"Shrimp shish kabobs, Caribbean rice, buttermilk biscuit &amp; Kelley's andouille sausage @ New Brockton, Alabama ","[31.3811, -85.9243]",31.3811,-85.9243,0.0
1031010400,0,,,,,,
1031010500,0,,,,,,
1031010600,0,,,,,,
1031010700,0,,,,,,
1031010800,0,,,,,,
1031010900,0,,,,,,
1031011000,0,,,,,,
1031011100,0,,,,,,
1031011201,0,,,,,,
1031011202,1,,,,,,
1031011300,1,,,,,,
1033020100,1,,,,,,
1033020200,0,,,,,,
1033020300,0,,,,,,
1033020400,0,,,,,,
1033020500,0,,,,,,
1033020600,0,,,,,,
1033020701,0,,,,,,
1033020703,0,,,,,,
1033020704,0,,,,,,
1033020801,0,,,,,,
1033020802,0,,,,,,
1033020901,0,,,,,,
1033020902,0,,,,,,
1033021000,0,,,,,,
1035960200,1,,,,,,
1035960300,1,,,,,,
1035960400,1,,,,,,
