,lat,long,clean_col,census
675,33.877187,-118.21795,Waiting on our dinner.  At least it's not McDonald's. LOL @ El Pollo Loco ,06037543202
983,41.8835986,-87.6258091,"I'm at McDonald's in Chicago, IL ",17031320100
1073,31.70018254,-106.33942634,"#Chichan #Tone 2 #mood
#Valle #Poser #Fake #dassadhuh #chola #cholarealness #chologram @ McDonald's ",48141003901
2286,42.00715077,-87.69046558,"Here for a late lunch! (@ McDonald's in Chicago, IL) ",17031020302
2436,36.0363,-95.7836,"McDonald's, it ain't ..   #cigar #botl @eighty5cigars @ochocinco @ Broken Arrow, Oklahoma ",40143007503
3711,30.04899687,-95.18548645,"I'm at McDonald's in Kingwood, TX ",48201251000
4057,34.98150504,-79.01295227,Happy birthday silas_benny   #breakfastsquad @ McDonald's ,37051003201
5839,35.46268829,-80.594651,"I'm at McDonald's in Kannapolis, NC  ",37025040703
5919,32.02500989,-81.22579962,"Uncle @ochocinco meal plan. (@ McDonald's in Savannah, GA) ",13051010809
5948,35.266013,-99.643656,Time to roll...#truckerjackie #5hrjunkie #5hourenergy #backto100percent #mochafrappe #alreadygone #phoenix bound @ McDonald's ,40009966800
6297,40.072704,-74.124805,"I'm at McDonald's - @mcdnytristate in Brick, NJ ",34029713500
6337,26.13955333,-80.20206659,Bra i got to stop drinking  sound like a big ass jit @ McDonald's ,12011041200
6782,30.269608,-97.736347,"Good morning, fatigue, I remember you fondly. We bathed in the grease on the McDonald's floor and we wanted to jump off the pier at the Seaport. Pondering whether we'd been here before. ",48453001100
7221,34.98150504,-79.01295227,"JB, struggling this morning? Dont miss breakfast tomorrow at 7:30! #breakfastsquad @ McDonald's ",37051003201
7448,41.42995455,-84.88683112,"I'm at McDonald's - @mcd_northernind in Butler, IN ",18033020300
7467,36.62635161,-78.55454609,"Tea time (@ McDonald's in Clarksville, VA)  ",51117930800
8857,32.77982223,-117.10285161,@prosperitygirl1 Black girl magic. @ Starbucks ,06073009603
8879,32.77985265,-117.10282812,"This dude sitting next to me sleeps like me! (@ Starbucks in San Diego, CA) ",06073009603
9275,34.89296,-117.02583,#keurig #keurigcoffeecorner #coffeetable   #starbucks #breakfast #food #happy #coffeelover #coffeeaddict #coffeeshop #caffeine #instacoffee #tequila #delicious #juicy #oj #wake #wakeup ,06071009500
9643,34.01578715,-118.49641483,"I'm at Starbucks in Santa Monica, CA ",06037701902
10638,39.74884,-122.204605,"Coffee and a frappucino for my star! (@ Starbucks in Orland, CA) ",06021010100
10672,40.75695269,-73.99049249,Cafeshito en Times Square.  @ Starbucks ,36061011500
10689,28.317657,-81.541306,"I'm at Starbucks in Celebration, FL ",12097040803
10702,47.6046,-122.3308,"original Starbucks having me Sleepless in Seattle #APhA2019  @ Seattle, Washington ",53033008100
10866,37.30382673,-121.89727697,"I'm at Starbucks in San Jose, CA ",06085502400
10894,33.6520245,-117.6474319,"Nervous to apply for a job like ""barista - Store# 05268, MISSION VIEJO II"" at Starbucks? Apply even if you're not a 100% match. You might be underestimating your value. Click the link in our bio for more info. #Retail #MissionViejo, CA",06059032031
10998,31.0685,-97.6555,"Much. Needed. #starbucks #quadshot #premierprotein #nectarforthegods @ Harker Heights, Texas ",48027021903
