,lat,long,clean_col,LILATracts_halfAnd10
1089001402,34.715424600000006,-86.6767036,"Can you recommend anyone for this Cafe Management job in Huntsville, AL? Click the link in our bio to see it and more. Restaurant Manager at Panera Bread #parttime #RestaurantLife",1.0
1089002600,34.6928304,-86.5695764,"Interested in a job in Huntsville, AL? This could be a great fit. Click the link in our bio to apply: Catering Coordinator at Panera Bread #parttime #Catering",0.0
1125012404,33.16563211,-87.54905481,"I'm at Starbucks in Tuscaloosa, AL ",1.0
4013061026,33.63824979,-112.41659979999999,"I'm at Taco Bell in Surprise, AZ ",0.0
4013092708,33.55212482,-112.26139541,"I'm at Taco Bell in Glendale, AZ ",0.0
4013104205,33.58141793,-112.12740815,"Tea and a meat &amp; cheese tray. (@ Starbucks in Phoenix, AZ w/ @stooner)  ",1.0
4013104205,33.58141793,-112.12740815,"Tea time. (@ Starbucks in Phoenix, AZ w/ @leophx @stooner)  ",1.0
4013107800,33.510954999999996,-112.029218,"I'm at Starbucks in Phoenix, AZ ",0.0
4013107800,33.5103953,-112.02869229999999,"We're hiring in Phoenix, AZ! Click the link in our bio to apply to this job and more: Catering Coordinator at Panera Bread #parttime #Catering",0.0
4013108400,33.5085087,-112.0276524,"Starbucks is hiring in #Phoenix, AZ! Read about our latest #Retail job opening via the link in our bio: shift supervisor - Store# 05422, ESPLANADE",1.0
4013108602,33.50624977,-112.06459736,"A lil afternoon caffeine pick-me-up! (@ Starbucks in Phoenix, AZ w/ @leophx @stooner)  ",1.0
4013216816,33.6197724,-111.89218020000001,"We're hiring in Scottsdale, AZ! Click the link in our bio to apply to this job and more: Delivery Driver at Panera Bread #parttime #Delivery",0.0
4013216850,33.6301456,-111.8890935,"Nervous to apply for a job like ""barista - Store# 05327, SCOTTSDALE TOWN CENTER"" at Starbucks? Apply even if you're not a 100% match. You might be underestimating your value. Click the link in our bio for more info. #Retail #Scottsdale, AZ",0.0
4013318400,33.43437585,-111.92593470000001,"I'm at Starbucks in Tempe, AZ ",1.0
4013318400,33.43437585,-111.92593470000001,"I'm at Starbucks in Tempe, AZ ",1.0
4013319104,33.40968,-111.925937,"I'm at Starbucks in Tempe, AZ ",0.0
4013320100,33.45095645,-111.92681368,"I'm at Starbucks in Tempe, AZ ",1.0
4013422216,33.3784023,-111.85922820000002,"Don't be shy. Score a job like ""shift supervisor - Store# 25946, ALMA SCHOOL &amp; BASELINE RD, MES"" at Starbucks by asking for referrals. It's a great way to get a meeting with HR. Check out the link in our bio to apply. #Retail #Mesa, AZ",0.0
4013422631,33.39285,-111.615845,"I'm at Starbucks in Mesa, AZ ",0.0
4013422631,33.39285,-111.615845,"I'm at Starbucks in Mesa, AZ w/ @briedidley ",0.0
4013422635,33.380421399999996,-111.6362619,"This job is now open at Starbucks in #Mesa, AZ. Follow us and turn on mobile alerts to hear about jobs like these as soon as they're posted: assistant store manager - Mesa/Gilbert, AZ #BusinessMgmt",0.0
4013610900,33.7118355,-112.27275630000001,"Panera Bread is hiring in Peoria, AZ! Read about our latest Cafe Hourly job opening via the link in our bio: Restaurant Associate - Cashier #parttime #Cashier",0.0
4013619100,33.642012799999996,-112.06496299999999,"Don't submit then quit. Apply for jobs like ""shift supervisor - Store# 14560, 7TH ST &amp; BELL - PHOENIX"" at Starbucks, then look for people you might know at the company. You might be able to reach out to HR directly. Ready to apply? Check out the link in our bio.",0.0
4013812400,33.285321100000004,-111.8409108,"This #Retail job might be a great fit for you. Click the link in our bio to see it and more. shift supervisor - Store# 08975, ARIZONA AVE &amp; LOOP 202 at Starbucks #Chandler, AZ",0.0
4013812400,33.248106,-111.8396414,"Join the Panera Bread team! See our latest Cafe Hourly job openings, including ""Shift Supervisor"", via the link in our bio. #parttime #Chandler, AZ",0.0
4013815300,33.2817211,-111.7889754,"Want to work at Starbucks? We're hiring in #Gilbert, AZ! Click the link in our bio for details on this job and more: shift supervisor - Store# 09413, GILBERT &amp; LOOP 202 #Retail",0.0
4019000500,32.2327053,-110.9573126,"Click the link in our bio to see currently open Cafe Hourly jobs like ""Catering Coordinator"" at Panera Bread in Tucson, AZ. #parttime #Catering",1.0
4019000600,32.236475899999995,-110.92721940000001,"Starbucks is hiring in #Tucson, AZ! Click the link in our bio to apply: barista - Store# 06920, SPEEDWAY &amp; COUNTRY CLUB #Retail",1.0
4019002904,32.2509576,-110.890271,"If you're looking for work in Tucson, AZ, check out this Baker Hourly job via the link in our bio: Baker - Night at Panera Bread #parttime #bakery",0.0
4019003303,32.2221664,-110.8613277,"Panera Bread is looking for teammates like you. See our latest Cafe Management job openings, including ""General Manager"", via the link in our bio. #parttime #Tucson, AZ",0.0
4019004039,32.235198600000004,-110.8242378,"Join the Starbucks team! See our latest #Retail job openings, including ""barista - Store# 19981, SPEEDWAY &amp; PANTANO"", via the link in our bio. #Tucson, AZ",0.0
4019004043,32.2082989,-110.7885657,"This #Retail job might be a great fit for you. Click the link in our bio to see it and more. barista - Store# 08901, 22ND ST &amp; HARRISON at Starbucks #Tucson, AZ",0.0
4019004510,32.2860752,-110.97727649999999,"Panera Bread is looking for teammates like you. See our latest Cafe Hourly job openings, including ""Shift Supervisor"", via the link in our bio. #parttime #Tucson, AZ",0.0
5119002407,34.7425985,-92.39308,"Can you recommend anyone for this Baker Hourly job in Little Rock, AR? Click the link in our bio to see it and more. Overnight Baker at Panera Bread #parttime #Baker",0.0
5131001102,35.3381276,-94.3834343,"We're hiring in #FortSmith, AR! Click the link in our bio to apply to this job and more: shift supervisor - Store# 29088, PHOENIX &amp; 540 at Starbucks #Retail",0.0
5143010506,36.0782049,-94.2103458,"See our latest #Fayetteville, AR #Retail job opportunity and click the link in our bio to apply: barista - Store# 24570, WEDINGTON AND N SALEM at Starbucks",0.0
5143010509,36.175689399999996,-94.1771423,"Join the Starbucks team! See our latest #Retail job openings, including ""shift supervisor - Store# 29087, SUNSET &amp; REIFF"", via the link in our bio. #Springdale, AR",0.0
6001433200,37.7115959,-122.1625499,"Don't submit then quit. Apply for jobs like ""shift supervisor - Store# 05545, MARINA @ 880 FWY"" at Starbucks, then look for people you might know at the company. You might be able to reach out to HR directly. Ready to apply? Check out the link in our bio. #Retail #SanLeandro, CA",0.0
6001441503,37.5049385,-121.9721017,"Want to work at Panera Bread? We're hiring in Fremont, CA! Click the link in our bio for details on this job and more: Shift Supervisor #parttime #Hospitality",0.0
6001443104,37.52858093,-121.91894308,Saw this posted at my local Starbucks missionncedar5864! Proud to see that my local @starbucks Coffee supports our Fremont Teachers and Educators! Way to go. We need to continue to ,0.0
6019000502,36.74299129999999,-119.77978119999999,"We're hiring in #Fresno, CA! Click the link in our bio to apply to this job and more: barista - Store# 09391, DIVISIDERO &amp; U STREET at Starbucks #Retail",0.0
6019000600,36.7358227,-119.78539920000001,"We're hiring in #Fresno, CA! Click the link in our bio to apply to this job and more: barista - Store# 05703, KERN STREET @ N STREET at Starbucks #Retail",1.0
6019003701,36.7717038,-119.8339781,"Nervous to apply for a job like ""barista - Store# 27304, CLINTON &amp; HWY 99"" at Starbucks? Apply even if you're not a 100% match. You might be underestimating your value. Click the link in our bio for more info. #Retail #Fresno, CA",1.0
6019004215,36.835331200000006,-119.8930904,"Looking to score a job at Starbucks? You're in luck. Click the link in our bio for the job description and information on how to apply: assistant store manager - Fresno, CA #BusinessMgmt #Fresno, CA",0.0
6019004503,36.8366636,-119.8079165,"Starbucks is hiring in #Fresno, CA! Read about our latest #Retail job opening via the link in our bio: shift supervisor - Store# 09291, PALM &amp; HERNDON",0.0
6019005512,36.8378973,-119.6819557,"If you're looking for work in #Clovis, CA, check out this #Retail job via the link in our bio: shift supervisor - Store# 05876, HERNDON &amp; FOWLER at Starbucks",0.0
