,keyword,text,lat,long,census,comp,category,CensusTract,LILATracts_1And10
0,bacon,"This evening's special nocterrabrewing is the Three Little Pigs sandwich...a country sausage patty, pulled pork, smokey thick cut bacon, pickled purple cabbage, fresh pickles, Bama &amp; Sweet ",40.15962,-83.07848,39041011423,0.7096,unhealthy,39041011423,0
1,bacon,"8 ounce filet mignon, topped with a bacon, green onion, and crushed red pepper compound butter. #feelingspicy #baconislife #steakdate #glutenfree #toastedfrog @ The Toasted Frog - Grand Forks ",47.92657866,-97.03240413,38035010100,0.0516,unhealthy,38035010100,0
2,butter,"8 ounce filet mignon, topped with a bacon, green onion, and crushed red pepper compound butter. #feelingspicy #baconislife #steakdate #glutenfree #toastedfrog @ The Toasted Frog - Grand Forks ",47.92657866,-97.03240413,38035010100,0.0516,unhealthy,38035010100,0
3,bacon,"HAMBURGUESA A LA DIABLA ! ! ! Flat iron steak &amp; smoked bacon ground together. Chilee morita, Jack cheese, grilled onions &amp; Serrano pepper  (@ Celinda's in Rancho Santa Margarita, CA)  ",33.63696256,-117.60853489,06059032053,0.0,unhealthy,06059032053,0
4,cheese,"HAMBURGUESA A LA DIABLA ! ! ! Flat iron steak &amp; smoked bacon ground together. Chilee morita, Jack cheese, grilled onions &amp; Serrano pepper  (@ Celinda's in Rancho Santa Margarita, CA)  ",33.63696256,-117.60853489,06059032053,0.0,unhealthy,06059032053,0
5,bacon,"Well...no pancakes and bacon!
Guess the @pinkberry I had in the freezer will have to DO for now!
Simply delicious Original with Honey!
#pinkberry #original #honey ",33.7680875,-118.1751669,06037576601,0.783,unhealthy,06037576601,0
6,bacon,"Love seeing....enter your pass code in the background....
Yep,this is I woke up after going back to sleep  now where is the pancake  and bacon  ?!?!?
Loving that ",33.7680875,-118.1751669,06037576601,0.8813,unhealthy,06037576601,0
7,bacon,"This and a few more hours of sleep....
Might be hitting up @ThePotholder before they close today....
Need some pancakes and bacon in my life TODAY!!!! Still ",33.7680875,-118.1751669,06037576601,0.0,unhealthy,06037576601,0
8,pancake,"Love seeing....enter your pass code in the background....
Yep,this is I woke up after going back to sleep  now where is the pancake  and bacon  ?!?!?
Loving that ",33.7680875,-118.1751669,06037576601,0.8813,unhealthy,06037576601,0
9,bacon,"New  in my Repertoire!!!!
Cherrywod smoked sea salt sauteed mushroom &amp; brown sugar roasted Bacon w/
Garlic Marzano sauce on a Garlicky Crust! #Win #Yum @ Hauf ",29.50307025,-98.68740387,48029181715,0.0,unhealthy,48029181715,0
10,sugar,"New  in my Repertoire!!!!
Cherrywod smoked sea salt sauteed mushroom &amp; brown sugar roasted Bacon w/
Garlic Marzano sauce on a Garlicky Crust! #Win #Yum @ Hauf ",29.50307025,-98.68740387,48029181715,0.0,unhealthy,48029181715,0
11,bacon,"Grilled asparagus up next with apple cured bacon
@biggreenegg #clevelandindians party #grilling
#grillporn#igchef #chefsofinstagram
 #PRIVATECHEFLIFE #privatedinner
#privatechef ",40.0,-100.0,20137951700,0.4019,unhealthy,20137951700,0
12,bread,"So here we have buttery pretzel Dijon  crusted ahi tuna over roasted cauliflower with purple cabbage white balsamic slaw and tostones ... banana bread beer
#ahi
#tostones #bananabreadbeer ",40.0,-100.0,20137951700,0.4767,unhealthy,20137951700,0
13,butter,Time for dessert. Got to go red for the Cleveland Indians so I went with an all butter pound cake with Kirsch de glazed black cherries topped with white chocolate cheesecake ice ,40.0,-100.0,20137951700,0.0,unhealthy,20137951700,0
14,cake,Time for dessert. Got to go red for the Cleveland Indians so I went with an all butter pound cake with Kirsch de glazed black cherries topped with white chocolate cheesecake ice ,40.0,-100.0,20137951700,0.0,unhealthy,20137951700,0
15,cake,"""What?

This is obviously just a cake in the shape of a castle with four very non- #phallic -shaped towers. Get your mind out of #thegutter .""

#cakefail  #cakefails @ United States ",40.0,-100.0,20137951700,0.4215,unhealthy,20137951700,0
16,cake,"Happy birthday dear, keep my cake oo
#Daniebleez #9live #Bleez9live #wwe #rondarousey #wweraw #davido #wizkid #wizkhalifa @ United States ",40.0,-100.0,20137951700,0.8442,unhealthy,20137951700,0
17,chocolate,Time for dessert. Got to go red for the Cleveland Indians so I went with an all butter pound cake with Kirsch de glazed black cherries topped with white chocolate cheesecake ice ,40.0,-100.0,20137951700,0.0,unhealthy,20137951700,0
18,dessert,Time for dessert. Got to go red for the Cleveland Indians so I went with an all butter pound cake with Kirsch de glazed black cherries topped with white chocolate cheesecake ice ,40.0,-100.0,20137951700,0.0,unhealthy,20137951700,0
19,oil,KEEP OIL FREE NORTH IRAQ . ARMINAEN .RUSSIA  SOS SOS CHRISTIANS GENESIDE  WHERE IS  SAFE HAVEN FOR ASSYRIA.  #INDEPENDENCE DAY KNOW TIME TRUE  WAKE UP PEOPLE ,40.0,-100.0,20137951700,0.8402,unhealthy,20137951700,0
20,oil,"KEEP OIL FREE NORTH IRAQ . SOS SOS 
           MAY GIVE OUR

ASSYRIA LANDS BACK TO 
            SOS HELP SOS 
  UNITED NATIONS PROTECTION 

CHRISTIANS GENESIDE ",40.0,-100.0,20137951700,0.8316,unhealthy,20137951700,0
21,bacon,"Breakfast stack! 
 A beautiful marriage of kerrygold butter toast, Gouda cheese, bacon, tomatoes and farm fresh eggs.
Someday when it's legal ,infusing these foods with cannabis and I am ",40.0,-100.0,20137951700,0.7901,unhealthy,20137951700,0
22,butter,"I am inviting you to try this,
This is a AWESOME BODY BUTTER!
I love it for the medicinal properties that is incorporated from the natural oils and more.
It soothes the (RA) Rhuematoid ",40.0,-100.0,20137951700,0.934,unhealthy,20137951700,0
23,butter,"Breakfast stack! 
 A beautiful marriage of kerrygold butter toast, Gouda cheese, bacon, tomatoes and farm fresh eggs.
Someday when it's legal ,infusing these foods with cannabis and I am ",40.0,-100.0,20137951700,0.7901,unhealthy,20137951700,0
24,cake,"IT'S A REAL KING'S DAY!  
#birthday #cashapp #money #cake #bday #king #pic #picoftheday #star #nashville #usa #global #networking #artist #grind #humble #life #support #kids #strategy ",40.0,-100.0,20137951700,0.0,unhealthy,20137951700,0
25,cake,"IT'S A REAL KING'S DAY!  
#birthday #cashapp #money #cake #bday #king #pic #picoftheday #star #nashville #usa #global #networking #artist #grind #humble #life #support #kids #strategy ",40.0,-100.0,20137951700,0.0,unhealthy,20137951700,0
26,cheese,"Breakfast stack! 
 A beautiful marriage of kerrygold butter toast, Gouda cheese, bacon, tomatoes and farm fresh eggs.
Someday when it's legal ,infusing these foods with cannabis and I am ",40.0,-100.0,20137951700,0.7901,unhealthy,20137951700,0
27,chocolate,"It's a cookie kind of day! Wait I lie, I have scones in the oven so it's just a baking kind of day! 

1. Snickerdoodle
2. Birthday cookie
3. Chocolate Chip
Pick one or all 3... ",40.0,-100.0,20137951700,0.0,unhealthy,20137951700,0
28,chocolate,Excited to share the latest addition to my #etsy shop: Chocolate Heart Necklace  @ United States ,40.0,-100.0,20137951700,0.7506,unhealthy,20137951700,0
29,cookie,"It's a cookie kind of day! Wait I lie, I have scones in the oven so it's just a baking kind of day! 

1. Snickerdoodle
2. Birthday cookie
3. Chocolate Chip
Pick one or all 3... ",40.0,-100.0,20137951700,0.0,unhealthy,20137951700,0
30,bacon,"She woke up like dis.
Lil bacon.... @ Mark's Melon Patch ",31.70707117,-84.33673269,13273120500,0.3612,unhealthy,13273120500,0
31,bacon,Drinking a Bacon Bomb by @BrennerBrewing @ Gizmo's Pub  ,43.1255,-88.4912,55133204301,-0.4939,unhealthy,55133204301,0
32,chocolate,Who doesnt like chocolate sandwich cookies dipped in Belgian chocolate and topped with a chocolate bunny? All Natural Everything! #noartificialflavors #belgianchocolate #bunnies ,43.1105264,-88.49756378,55133204301,0.1734,unhealthy,55133204301,0
