state,LILATracts_1And10,abbreviation,name,healthy_sent,grocery_sent,unhealthy_sent,ff_sent,max_sent,final_sent
1,0.22,AL,ALABAMA,0.20,0.16,0.29,0.33,ff_sent,unhealthy
2,0.17,AK,ALASKA,0.37,0.16,0.06,0.34,healthy_sent,healthy
4,0.19,AZ,ARIZONA,0.33,0.30,0.24,0.29,healthy_sent,healthy
5,0.14,AR,ARKANSAS,0.30,0.16,0.41,0.33,unhealthy_sent,unhealthy
6,0.03,CA,CALIFORNIA,0.26,0.16,0.29,0.29,ff_sent,unhealthy
8,0.10,CO,COLORADO,0.38,0.78,0.34,0.37,grocery_sent,healthy
9,0.06,CT,CONNECTICUT,0.17,0.14,0.30,0.32,ff_sent,unhealthy
10,0.00,DE,DELAWARE,0.25,0.16,0.44,0.39,unhealthy_sent,unhealthy
11,0.00,DC,DISTRICT OF COLUMBIA,0.35,0.42,0.38,0.24,grocery_sent,unhealthy
12,0.11,FL,FLORIDA,0.27,0.27,0.34,0.24,unhealthy_sent,unhealthy
13,0.32,GA,GEORGIA,0.28,0.11,0.28,0.35,ff_sent,healthy
15,0.00,HI,HAWAII,0.30,0.01,0.33,0.28,unhealthy_sent,unhealthy
16,0.19,ID,IDAHO,0.30,0.39,0.30,0.31,grocery_sent,healthy
17,0.03,IL,ILLINOIS,0.26,0.10,0.27,0.31,ff_sent,unhealthy
18,0.13,IN,INDIANA,0.35,-0.01,0.30,0.25,healthy_sent,healthy
19,0.10,IA,IOWA,0.14,0.00,0.29,0.24,unhealthy_sent,unhealthy
20,0.13,KS,KANSAS,0.26,0.16,0.33,0.31,unhealthy_sent,unhealthy
21,0.42,KY,KENTUCKY,0.22,-0.01,0.23,0.21,unhealthy_sent,unhealthy
22,0.07,LA,LOUISIANA,0.21,0.33,0.32,0.33,ff_sent,unhealthy
23,0.16,ME,MAINE,0.37,0.16,0.34,0.38,ff_sent,healthy
24,0.07,MD,MARYLAND,0.26,0.00,0.29,0.29,ff_sent,unhealthy
25,0.02,MA,MASSACHUSETTS,0.27,0.08,0.33,0.35,ff_sent,unhealthy
26,0.11,MI,MICHIGAN,0.29,0.11,0.26,0.23,healthy_sent,healthy
27,0.18,MN,MINNESOTA,0.19,0.48,0.25,0.23,grocery_sent,unhealthy
28,0.20,MS,MISSISSIPPI,0.28,0.16,0.23,0.39,ff_sent,healthy
29,0.10,MO,MISSOURI,0.35,0.16,0.28,0.33,healthy_sent,healthy
30,0.00,MT,MONTANA,0.57,0.16,0.29,0.43,healthy_sent,healthy
31,0.04,NE,NEBRASKA,0.18,0.16,0.25,0.37,ff_sent,unhealthy
32,0.23,NV,NEVADA,0.19,0.51,0.24,0.28,grocery_sent,unhealthy
33,0.25,NH,NEW HAMPSHIRE,0.33,0.16,0.30,0.76,ff_sent,healthy
34,0.01,NJ,NEW JERSEY,0.19,0.02,0.27,0.28,ff_sent,unhealthy
35,0.00,NM,NEW MEXICO,0.32,0.16,0.36,0.38,ff_sent,unhealthy
36,0.01,NY,NEW YORK,0.27,0.03,0.29,0.22,unhealthy_sent,unhealthy
37,0.10,NC,NORTH CAROLINA,0.26,0.11,0.29,0.22,unhealthy_sent,unhealthy
38,0.00,ND,NORTH DAKOTA,0.24,0.16,0.00,0.32,ff_sent,healthy
39,0.12,OH,OHIO,0.28,0.21,0.32,0.24,unhealthy_sent,unhealthy
40,0.09,OK,OKLAHOMA,0.24,0.00,0.32,0.48,ff_sent,unhealthy
41,0.11,OR,OREGON,0.25,-0.04,0.30,0.40,ff_sent,unhealthy
42,0.05,PA,PENNSYLVANIA,0.27,0.10,0.27,0.27,ff_sent,healthy
44,0.22,RI,RHODE ISLAND,0.30,-0.67,0.41,0.34,unhealthy_sent,unhealthy
45,0.22,SC,SOUTH CAROLINA,0.32,0.09,0.31,0.35,ff_sent,healthy
46,0.00,SD,SOUTH DAKOTA,0.35,0.16,0.47,0.19,unhealthy_sent,unhealthy
47,0.12,TN,TENNESSEE,0.31,0.21,0.38,0.27,unhealthy_sent,unhealthy
48,0.15,TX,TEXAS,0.29,0.48,0.34,0.47,grocery_sent,unhealthy
49,0.20,UT,UTAH,0.47,0.16,0.38,0.34,healthy_sent,healthy
50,0.10,VT,VERMONT,0.37,0.16,0.24,0.25,healthy_sent,healthy
51,0.18,VA,VIRGINIA,0.31,0.23,0.30,0.34,ff_sent,healthy
53,0.04,WA,WASHINGTON,0.28,0.19,0.32,0.34,ff_sent,unhealthy
54,0.00,WV,WEST VIRGINIA,0.30,0.29,0.43,0.28,unhealthy_sent,unhealthy
55,0.06,WI,WISCONSIN,0.16,0.00,0.17,0.38,ff_sent,unhealthy
56,0.00,WY,WYOMING,0.28,0.16,0.41,0.43,ff_sent,unhealthy
