state,comp,LILATracts_1And10,abbreviation,name
01,0.20074112903225802,0.21774193548387097,AL,ALABAMA
02,0.36813333333333337,0.16666666666666666,AK,ALASKA
04,0.32810542168674683,0.18674698795180722,AZ,ARIZONA
05,0.2999023809523809,0.14285714285714285,AR,ARKANSAS
06,0.2628702513150209,0.02863822326125073,CA,CALIFORNIA
08,0.37772662337662327,0.09740259740259741,CO,COLORADO
09,0.16746083916083912,0.055944055944055944,CT,CONNECTICUT
10,0.25225625,0.0,DE,DELAWARE
11,0.345027734375,0.0,DC,DISTRICT OF COLUMBIA
12,0.26927466666666705,0.11333333333333333,FL,FLORIDA
13,0.2818018987341771,0.31645569620253167,GA,GEORGIA
15,0.30241862745098047,0.0,HI,HAWAII
16,0.29923809523809525,0.19047619047619047,ID,IDAHO
17,0.2644002732240438,0.030054644808743168,IL,ILLINOIS
18,0.35336249999999997,0.125,IN,INDIANA
19,0.14499452054794518,0.0958904109589041,IA,IOWA
20,0.25870506329113924,0.12658227848101267,KS,KANSAS
21,0.21835929203539822,0.4247787610619469,KY,KENTUCKY
22,0.2076457943925234,0.07476635514018691,LA,LOUISIANA
23,0.3703539682539682,0.15873015873015872,ME,MAINE
24,0.2634595505617978,0.07303370786516854,MD,MARYLAND
25,0.2713575471698113,0.018867924528301886,MA,MASSACHUSETTS
26,0.28894624999999985,0.10625,MI,MICHIGAN
27,0.19302462686567157,0.1791044776119403,MN,MINNESOTA
28,0.27907750000000003,0.2,MS,MISSISSIPPI
29,0.3512195488721803,0.09774436090225563,MO,MISSOURI
30,0.5701,0.0,MT,MONTANA
31,0.1774357142857143,0.03571428571428571,NE,NEBRASKA
32,0.1938433070866141,0.2283464566929134,NV,NEVADA
33,0.33136750000000004,0.25,NH,NEW HAMPSHIRE
34,0.19284204018547108,0.00927357032457496,NJ,NEW JERSEY
35,0.31630500000000006,0.0,NM,NEW MEXICO
36,0.2661554678692221,0.013528748590755355,NY,NEW YORK
37,0.2592611510791365,0.10431654676258993,NC,NORTH CAROLINA
38,0.23918461538461538,0.0,ND,NORTH DAKOTA
39,0.28340529595015584,0.11838006230529595,OH,OHIO
40,0.23740892857142853,0.08928571428571429,OK,OKLAHOMA
41,0.25397405405405404,0.11351351351351352,OR,OREGON
42,0.2706931034482756,0.05305039787798409,PA,PENNSYLVANIA
44,0.29806956521739136,0.21739130434782608,RI,RHODE ISLAND
45,0.31922187499999993,0.21875,SC,SOUTH CAROLINA
46,0.3523875,0.0,SD,SOUTH DAKOTA
47,0.30953874345549726,0.11518324607329843,TN,TENNESSEE
48,0.28516899224806186,0.15038759689922482,TX,TEXAS
49,0.47356499999999996,0.2,UT,UTAH
50,0.3660380952380953,0.09523809523809523,VT,VERMONT
51,0.310470081967213,0.1762295081967213,VA,VIRGINIA
53,0.28335886792452813,0.04150943396226415,WA,WASHINGTON
54,0.30286874999999996,0.0,WV,WEST VIRGINIA
55,0.1619082568807339,0.06422018348623854,WI,WISCONSIN
56,0.2795916666666667,0.0,WY,WYOMING
