,CensusTract,LILATracts_1And10
0,01001020100,0
1,01001020200,0
2,01001020300,0
3,01001020400,0
4,01001020500,0
5,01001020600,0
6,01001020700,1
7,01001020801,0
8,01001020802,0
9,01001020900,0
10,01001021000,0
11,01001021100,1
12,01003010100,0
13,01003010200,0
14,01003010300,0
15,01003010400,0
16,01003010500,0
17,01003010600,1
18,01003010701,0
19,01003010703,0
20,01003010704,0
21,01003010705,0
22,01003010800,0
23,01003010903,0
24,01003010904,0
25,01003010905,0
26,01003010906,0
27,01003011000,0
28,01003011101,0
29,01003011102,0
30,01003011201,0
31,01003011202,0
32,01003011300,0
33,01003011401,0
34,01003011403,0
35,01003011405,0
36,01003011406,0
37,01003011407,1
38,01003011408,0
39,01003011501,0
40,01003011502,1
41,01003011601,0
42,01003011602,0
43,01005950100,1
44,01005950200,0
45,01005950300,1
46,01005950400,0
47,01005950500,0
48,01005950600,0
49,01005950700,0
50,01005950800,0
51,01005950900,1
52,01007010001,0
53,01007010002,0
54,01007010003,0
55,01007010004,0
56,01009050101,0
57,01009050102,0
58,01009050200,0
59,01009050300,0
60,01009050400,0
61,01009050500,0
62,01009050601,0
63,01009050602,0
64,01009050700,0
65,01011952100,1
66,01011952200,0
67,01011952500,1
68,01013952700,0
69,01013952800,0
70,01013952900,0
71,01013953000,1
72,01013953100,1
73,01013953200,1
74,01013953300,0
75,01013953400,0
76,01013953500,0
77,01015000200,0
78,01015000300,0
79,01015000400,1
80,01015000500,0
81,01015000600,0
82,01015000700,0
83,01015000800,0
84,01015000900,0
85,01015001000,0
86,01015001100,0
87,01015001201,1
88,01015001202,0
89,01015001300,1
90,01015001400,0
91,01015001500,0
92,01015001600,1
93,01015001700,0
94,01015001800,1
95,01015002000,0
96,01015002101,1
97,01015002102,0
98,01015002103,1
99,01015002200,0
100,01015002300,0
101,01015002400,0
102,01015002501,0
103,01015002502,0
104,01015002600,0
105,01015981901,0
106,01015981902,0
107,01015981903,0
108,01017953800,0
109,01017953900,0
110,01017954000,0
111,01017954200,0
112,01017954300,0
113,01017954400,1
114,01017954500,1
115,01017954600,0
116,01017954700,1
117,01019955701,0
118,01019955702,0
119,01019955800,0
120,01019955900,0
121,01019956000,0
122,01019956100,0
123,01021060101,0
124,01021060102,1
125,01021060200,0
126,01021060300,0
127,01021060401,0
128,01021060402,0
129,01021060500,0
130,01021060600,0
131,01021060700,0
132,01023956700,1
133,01023956800,0
134,01023956900,0
135,01023957000,0
136,01025957500,0
137,01025957601,0
138,01025957602,0
139,01025957700,0
140,01025957800,1
141,01025957901,0
142,01025957902,1
143,01025958001,0
144,01025958002,1
145,01027958900,0
146,01027959000,0
147,01027959100,0
148,01027959200,0
149,01029959500,0
150,01029959600,0
151,01029959700,0
152,01029959800,0
153,01031010100,1
154,01031010200,1
155,01031010300,0
156,01031010400,0
157,01031010500,0
158,01031010600,0
