,keyword,text,lat,long,census,comp,category,LILATracts_1And10,county
0,mcdonald's,Waiting on our dinner.  At least it's not McDonald's. LOL @ El Pollo Loco ,33.877187,-118.21795,06037543202,-0.4356,fastfood,0,06037
1,panda express,"Panda Express is hiring in #Compton, CA! Read about our latest #Hospitality job opening via the link in our bio: Restaurant Service and Kitchen Team (1652)",33.8787456,-118.2181431,06037543202,0.0,fastfood,0,06037
2,el pollo loco,Waiting on our dinner.  At least it's not McDonald's. LOL @ El Pollo Loco ,33.877187,-118.21795,06037543202,-0.4356,fastfood,0,06037
3,starbucks,"We're hiring in #Compton, CA! Click the link in our bio to apply to this job and more: shift supervisor - Store# 21740, ALAMEDA &amp; 91 at Starbucks #Retail",33.87668,-118.2178557,06037543202,0.0,fastfood,0,06037
4,starbucks,Its the little things that matter...  thanks @starbucks @ Starbucks ,33.87427492,-118.24767083,06037543202,0.4404,fastfood,0,06037
5,el pollo loco,Waiting on our dinner.  At least it's not McDonald's. LOL @ El Pollo Loco ,33.877187,-118.21795,06037543202,-0.4356,fastfood,0,06037
6,mcdonald's,"I'm at McDonald's in Chicago, IL ",41.883598600000006,-87.62580909999998,17031320100,0.0,fastfood,0,17031
7,popeyes louisiana kitchen,"Lunch break (@ Popeyes Louisiana Kitchen in Chicago, IL) ",41.88491675,-87.62611837,17031320100,0.0,fastfood,0,17031
8,starbucks,A perfect treat of a #starbuckscoffee #peppermintmochafrappuccino to end my day. @ Starbucks ,41.88235643,-87.62467057,17031320100,0.7506,fastfood,0,17031
9,starbucks,"Starbucks is looking for teammates like you. See our latest #Retail job openings, including ""barista - Store# 15683, 8 NORTH MICHIGAN"", via the link in our bio. #Chicago, IL",41.882330100000004,-87.6249603,17031320100,0.3612,fastfood,0,17031
10,subway,Chicago Subway #chicago #subway #travel #nice #chicagolife en Chicago Riverwalk ,41.88840017,-87.61897076,17031320100,0.0,fastfood,0,17031
11,mcdonald's,"#Chichan #Tone 2 #mood
#Valle #Poser #Fake #dassadhuh #chola #cholarealness #chologram @ McDonald's ",31.70018254,-106.33942634,48141003901,0.0,fastfood,0,48141
12,mcdonald's,"Here for a late lunch! (@ McDonald's in Chicago, IL) ",42.00715077,-87.69046558,17031020302,0.0,fastfood,0,17031
13,mcdonald's,"McDonald's, it ain't ..   #cigar #botl @eighty5cigars @ochocinco @ Broken Arrow, Oklahoma ",36.0363,-95.7836,40143007503,-0.4767,fastfood,0,40143
14,mcdonald's,"I'm at McDonald's in Kingwood, TX ",30.04899687,-95.18548645,48201251000,0.4995,fastfood,0,48201
