,keyword,text,lat,long,census,comp,category,LILATracts_1And10,county
0,safeway,"See our latest #Rocklin, CA #branchbanking job opportunity and click the link in our bio to apply: Universal Banker 1 NMLS - Rocklin Safeway (30 hrs) at U.S. Bank",38.7907339,-121.2357828,06061021103,0.4215,grocery,0,06061
1,safeway,Fuck no!  Just stop M&amp;Ms. @ Safeway ,37.76910525,-122.42826619,06075016900,-0.8016,grocery,0,06075
2,safeway,Fuck no!  Just stop M&amp;Ms. @ Safeway ,37.76910525,-122.42826619,06075016900,-0.8016,grocery,0,06075
3,safeway,"I'm at @Safeway in San Francisco, CA ",37.7746023,-122.4652111,06075045200,0.0,grocery,0,06075
4,safeway,"I'm at @Safeway in San Francisco, CA ",37.7746023,-122.4652111,06075045200,0.0,grocery,0,06075
5,safeway,"I'm at @Safeway in San Francisco, CA ",37.7746023,-122.4652111,06075045200,0.0,grocery,0,06075
6,safeway,"I'm at @Safeway in San Francisco, CA ",37.7746023,-122.4652111,06075045200,0.0,grocery,0,06075
7,safeway,"I'm at @Safeway in Falls Church, VA ",38.8535005,-77.12873459999999,51059451502,0.0,grocery,0,51059
8,safeway,"I'm at Starbucks (inside safeway) in Falls Church, VA ",38.853191,-77.129397,51059451502,0.0,grocery,0,51059
9,safeway,"I'm at @Safeway in Falls Church, VA ",38.8535005,-77.12873459999999,51059451502,0.0,grocery,0,51059
10,safeway,"I'm at Starbucks (inside safeway) in Falls Church, VA ",38.853191,-77.129397,51059451502,0.0,grocery,0,51059
11,safeway,"I'm at @Safeway in Falls Church, VA ",38.8535005,-77.12873459999999,51059451502,0.0,grocery,0,51059
12,safeway,"I'm at Starbucks (inside safeway) in Falls Church, VA ",38.853190999999995,-77.129397,51059451502,0.0,grocery,0,51059
13,safeway,"Lunch! (at @Safeway in Tacoma, WA)  ",47.1904255,-122.4070474,53053071601,0.0,grocery,1,53053
14,safeway,"warn the humble will see this and celebrate, you who seek the mightiest, your souls will come alive. #hoshiyana 
 @ Safeway ",37.68936638,-122.13822295,06001433600,0.7096,grocery,0,06001
15,safeway,"Stop staring at the clock every day. It's time for a new career. Follow us to view jobs with titles like ""Universal Banker 1 NMLS (20 hrs) - GOODYEAR SAFEWAY - Goodyear, AZ"" in #Goodyear, AZ. #branchbanking",33.4353394,-112.3576567,04013061300,0.0772,grocery,0,04013
16,safeway,"@geminibuttaflyy I know off 5th St in NW next to the Safeway we gotta be there before 8pm at that chipotle or the residents that live above paying in excess of $2,000+ will get us up outta there.",39.291023,-76.691879,24510280404,0.0,grocery,0,24510
17,safeway,"Nervous to apply for a job like ""Universal Banker 1 NMLS (40 hrs) - Broadway &amp; Campbell Safeway - Tucson, AZ"" at U.S. Bank? Apply even if you're not a 100% match. You might be underestimating your value. Click the link in our bio for more info. #branchbanking #Tucson, AZ",32.2217429,-110.926479,04019001900,0.4215,grocery,0,04019
18,safeway,"This #branchbanking job might be a great fit for you. Click the link in our bio to see it and more. In Store Branch Manager NMLS 1 - North Oracle Safeway (AZ) at U.S. Bank #Tucson, AZ",32.2217429,-110.926479,04019001900,0.765,grocery,0,04019
19,safeway,"Have you ever had a role like ""In Store Branch Manager NMLS 1 - North Oracle Safeway (AZ)""? What did you like most about that job? #branchbanking #Tucson, AZ",32.2217429,-110.926479,04019001900,0.6553,grocery,0,04019
20,safeway,"I'm at @Safeway in Marysville, WA ",48.06255017,-122.17435729999998,53061052905,0.0,grocery,0,53061
21,safeway,Monday night Safeway @fluevog shoe game on pointe. @ Safeway ,37.74323473,-122.42244173,06075025300,0.0,grocery,0,06075
22,safeway,"""Human waste on sidewalk has been stepped on and spread all around. Location is the backside of Safeway near the northwest corner of the building on sidewalk along San Jose Ave."" (Bernal Heights) ",37.743519,-122.422686,06075025300,-0.4215,grocery,0,06075
23,safeway,"If jobs with titles like ""Universal Banker 1 NMLS - Union City Safeway (35 hrs)"" sound appealing to you, follow us to hear about these types of opportunities in #UnionCity, CA. #branchbanking",37.59339179999999,-122.0438298,06001440301,0.6249,grocery,1,06001
24,safeway,"Looking to score a job at U.S. Bank? You're in luck. Click the link in our bio for the job description and information on how to apply: Universal Banker 1 NMLS - Union City Safeway (35 hrs) #branchbanking #UnionCity, CA",37.59339179999999,-122.0438298,06001440301,0.4588,grocery,1,06001
25,safeway,"The woman behind the customer service counter is a real charmer. Not. (at @Safeway in Colorado Springs, CO) ",38.873844,-104.7224508,08041005602,0.4404,grocery,0,08041
26,safeway,"We're hiring in #CameronPark, CA! Click the link in our bio to apply to this job and more: Universal Banker 1 NMLS - Cameron Park Safeway (20 hrs) at U.S. Bank #branchbanking",38.6687929,-120.9871643,06017030809,0.0,grocery,0,06017
27,safeway,"I'm at @Safeway in San Francisco, CA ",37.79698545,-122.39870299,06075010500,0.0,grocery,0,06075
28,safeway,"Nervous to apply for a job like ""Universal Banker 1 NMLS (40 hrs) - West Apache Trail Safeway - Apache Junction, AZ"" at U.S. Bank? Apply even if you're not a 100% match. You might be underestimating your value. Click the link in our bio for more info.",33.4150485,-111.5495777,04021000310,0.4215,grocery,1,04021
29,safeway,"See our latest #Sacramento, CA job and click to apply: Universal Banker 1 NMLS - Del Paso Boulevard Safeway (20 hrs) -  #branchbanking",38.5815719,-121.4943996,06067001101,0.0,grocery,0,06067
30,safeway,"This job is now open at U.S. Bank in #Sacramento, CA. Follow us and turn on mobile alerts to hear about jobs like these as soon as they're posted: Universal Banker 1 NMLS - Sacramento, CA - Natomas Town Center Safeway (30 hrs) #branchbanking",38.5815719,-121.4943996,06067001101,0.3612,grocery,0,06067
31,safeway,Well per @guyfieri these are on the menu in flavortown and #Nationalcheeseteakday was bomb dot com. My lovely wife made the rolls this morning at safeway. I made the barkerbbq baby got ,47.7156,-116.938,16055000500,0.4019,grocery,0,16055
32,safeway,The classic weekend battle! #defeated #iwin @ Safeway ,47.01908382,-122.89780192,53067010400,-0.4389,grocery,0,53067
33,safeway,Why is there not another cashier with this many people in the aisle @Safeway ,48.51248041,-122.61166294,53057940600,0.0,grocery,0,53057
