,keyword,text,lat,long,census,comp,category,LILATracts_1And10,county
0,almond,"Almond cake , mango and raspberry compote , lemon whipped ganache , citrus crumble @bachour1234 #bachourmiami #antoniobachour #bachour @ Bachour ",25.7540587,-80.2609892,12086006206,0.0,healthy,0,12086
1,avocado,"Breakfast all day : On the Mix Slam with avocado . A veggie breakfast wrap that will blow you taste buds away! 

#wedeliver #takeout #postmates #ubereats #coralgables #smoothies ",25.75297771,-80.26122251,12086006206,-0.4389,healthy,0,12086
2,mango,"Almond cake , mango and raspberry compote , lemon whipped ganache , citrus crumble @bachour1234 #bachourmiami #antoniobachour #bachour @ Bachour ",25.7540587,-80.2609892,12086006206,0.0,healthy,0,12086
3,raspberry,"Almond cake , mango and raspberry compote , lemon whipped ganache , citrus crumble @bachour1234 #bachourmiami #antoniobachour #bachour @ Bachour ",25.7540587,-80.2609892,12086006206,0.0,healthy,0,12086
4,raspberry,"Dulcey , raspberry and coconut entremet at @bachour1234 with @valrhonausa @pavonitalia #pavonitalia #antoniobachour #bachour #bachourmiami #valrhonausa @ Bachour ",25.7540587,-80.2609892,12086006206,0.0,healthy,0,12086
5,almond,"Bucatini with Faux Meat Sauce and Garlic Breadsticks for dinner. 
Followed up with Turmeric Almond Milk and meringues from the Spanish bakery. 
Its 8:30pm and I'm  falling ",38.891999999999996,-77.2311,51059460600,-0.1531,healthy,0,51059
6,meat,"Bucatini with Faux Meat Sauce and Garlic Breadsticks for dinner. 
Followed up with Turmeric Almond Milk and meringues from the Spanish bakery. 
Its 8:30pm and I'm  falling ",38.891999999999996,-77.2311,51059460600,-0.1531,healthy,0,51059
7,milk,"Bucatini with Faux Meat Sauce and Garlic Breadsticks for dinner. 
Followed up with Turmeric Almond Milk and meringues from the Spanish bakery. 
Its 8:30pm and I'm  falling ",38.891999999999996,-77.2311,51059460600,-0.1531,healthy,0,51059
8,almond,"Even though I can't work out right now, I can keep my nitrition on par.   One of my fav flavors...chocolate frozen banana and almond flavoring and ice with almond milk...YUMMO!  All the ",42.3176,-88.4462,17111870903,0.5093,healthy,0,17111
9,banana,"Even though I can't work out right now, I can keep my nitrition on par.   One of my fav flavors...chocolate frozen banana and almond flavoring and ice with almond milk...YUMMO!  All the ",42.3176,-88.4462,17111870903,0.5093,healthy,0,17111
10,milk,"Even though I can't work out right now, I can keep my nitrition on par.   One of my fav flavors...chocolate frozen banana and almond flavoring and ice with almond milk...YUMMO!  All the ",42.3176,-88.4462,17111870903,0.5093,healthy,0,17111
11,almond,NEW:: SMOKED ALMOND BUTTERSCOTCH // WILLIAMSBURG ONLY // SCOOPING NOW // FLAVORS CHANGE OFTEN - DONT BE MAD // PHOTO @jenks609 @ OddFellows Ice Cream Co. ,40.71821,-73.96384990000001,36047055500,0.4889,healthy,0,36047
12,egg,#stretch #doodle while waiting for my food. @ Egg ,40.716739200000006,-73.96172490000001,36047055500,0.0,healthy,0,36047
13,egg,Time for #brunch @ Egg ,40.716739200000006,-73.96172490000001,36047055500,0.0,healthy,0,36047
14,almond,"Matcha &amp; strawberry almond swirl w/ berries for lunch... #veganeats #sweetnhealthy #treats , thanks @pressedjuicery ! @ Fashion Valley ",32.7674659,-117.1660147,06073008902,0.4926,healthy,0,06073
15,raspberry,Raspberry Sorbet and Machiatto.  I'm having lots of sugar and coffee tonight  with too much still to do! @ North Italia ,32.7694551,-117.16864009999999,06073008902,0.0,healthy,0,06073
16,almond,"Go Nuts for nuts ... and some seeds too... 
I particularly lve pistachio, cashew, almond, peanut &amp; walnut. Also bought chia seeds &amp; other variety of flax seeds. Its just ",41.51886849,-87.47049451,18089042704,-0.5574,healthy,0,18089
17,almond,"Keto fried egg with tomatoes, avocado and queso fresco wrapped in an almond flour tortilla. 
.
.
.
.
.
#keto #ketodiet #lowcarb #ketogenic #weightloss #lchf #ketosis #ketolife ",39.998000000000005,-75.1448,42101017500,0.0,healthy,0,42101
18,apple,""" JUICING/BLENDING ""
MY SUPER JUICE
2 CUCUMBER 
2 FRESH PEACHES AND 
2 TOMATOES AND 
2 HANDFULS OF KALE/LETTUCE 
1 GRANNY SMITH APPLE 
23 STALKS OF CELERY
BLEND W
1 CUP FROZEN ",39.998000000000005,-75.1448,42101017500,0.8256,healthy,0,42101
19,asparagus,"That keto Saturday cooking. Fish sticks with roasted asparagus and chimichurri mayo #keto #cleaneats #sojerzphood #boom @ Philadelphia, Pennsylvania ",39.998000000000005,-75.1448,42101017500,0.0,healthy,0,42101
20,avocado,"Keto fried egg with tomatoes, avocado and queso fresco wrapped in an almond flour tortilla. 
.
.
.
.
.
#keto #ketodiet #lowcarb #ketogenic #weightloss #lchf #ketosis #ketolife ",39.998000000000005,-75.1448,42101017500,0.0,healthy,0,42101
21,celery,""" JUICING/BLENDING ""
MY SUPER JUICE
2 CUCUMBER 
2 FRESH PEACHES AND 
2 TOMATOES AND 
2 HANDFULS OF KALE/LETTUCE 
1 GRANNY SMITH APPLE 
23 STALKS OF CELERY
BLEND W
1 CUP FROZEN ",39.998000000000005,-75.1448,42101017500,0.8256,healthy,0,42101
22,cherry,"$- Tonight were back at again at daynnitephilly 908 Cherry Street 
10P-2A | Hookah | Food | Drinks 
No entry fee its on me 
See ya tonight! #selektasexxx @ Philadelphia, Pennsylvania ",39.998000000000005,-75.1448,42101017500,-0.3595,healthy,0,42101
23,chicken,"I swear every 'hood has one of these. Either they are called a Crown, Prince, King or Kennedy('s) (Fried) Chicken. Still great stuff lol. 
#crownchicken @ Philadelphia, Pennsylvania ",39.998000000000005,-75.1448,42101017500,0.7717,healthy,0,42101
24,chicken,"Had time to fry me some chicken fingers &amp; fries  since I did my own block for OT today lol  #tgif #lunch @ Philadelphia, Pennsylvania ",39.998000000000005,-75.1448,42101017500,-0.0258,healthy,0,42101
25,chicken,"#chicken #veggies and #rice  cooking #dinner @ Philadelphia, Pennsylvania ",39.998000000000005,-75.1448,42101017500,0.0,healthy,0,42101
26,egg,"Keto fried egg with tomatoes, avocado and queso fresco wrapped in an almond flour tortilla. 
.
.
.
.
.
#keto #ketodiet #lowcarb #ketogenic #weightloss #lchf #ketosis #ketolife ",39.998000000000005,-75.1448,42101017500,0.0,healthy,0,42101
27,fish,"What is a good name for a snail? 
@petsmart 
 Im loving the tranquility  that comes with having a small #aquarium.  
Zebra fish and #tetras #frogs. #Snails 
Some fish are bottom feeders.. ",39.998000000000005,-75.1448,42101017500,0.8625,healthy,0,42101
28,fish,"That keto Saturday cooking. Fish sticks with roasted asparagus and chimichurri mayo #keto #cleaneats #sojerzphood #boom @ Philadelphia, Pennsylvania ",39.998000000000005,-75.1448,42101017500,0.0,healthy,0,42101
29,fish,"Like if you See something  you like. 
Chefing at Moms House! 
#chefdorianwest 
#coachdorianwest 
#dieta #diet

#foodies #food #scallops #vegetables #pan #codfish #fish #salmon @ ",39.998000000000005,-75.1448,42101017500,0.6476,healthy,0,42101
30,fish,"Like if you See something  you like. 
Chefing at Moms House! 
#chefdorianwest 
#coachdorianwest 
#dieta #diet

#foodies #food #scallops #vegetables #pan #codfish #fish #salmon @ ",39.998000000000005,-75.1448,42101017500,0.6476,healthy,0,42101
31,kale,""" JUICING/BLENDING ""
MY SUPER JUICE
2 CUCUMBER 
2 FRESH PEACHES AND 
2 TOMATOES AND 
2 HANDFULS OF KALE/LETTUCE 
1 GRANNY SMITH APPLE 
23 STALKS OF CELERY
BLEND W
1 CUP FROZEN ",39.998000000000005,-75.1448,42101017500,0.8256,healthy,0,42101
