,keyword,text,lat,long,census,comp,category,LILATracts_1And10,county
0,bacon,"This evening's special nocterrabrewing is the Three Little Pigs sandwich...a country sausage patty, pulled pork, smokey thick cut bacon, pickled purple cabbage, fresh pickles, Bama &amp; Sweet ",40.15962,-83.07848,39041011423,0.7096,unhealthy,0,39041
1,bacon,"8 ounce filet mignon, topped with a bacon, green onion, and crushed red pepper compound butter. #feelingspicy #baconislife #steakdate #glutenfree #toastedfrog @ The Toasted Frog - Grand Forks ",47.92657866,-97.03240413,38035010100,0.0516,unhealthy,0,38035
2,butter,"8 ounce filet mignon, topped with a bacon, green onion, and crushed red pepper compound butter. #feelingspicy #baconislife #steakdate #glutenfree #toastedfrog @ The Toasted Frog - Grand Forks ",47.92657866,-97.03240413,38035010100,0.0516,unhealthy,0,38035
3,bacon,"HAMBURGUESA A LA DIABLA ! ! ! Flat iron steak &amp; smoked bacon ground together. Chilee morita, Jack cheese, grilled onions &amp; Serrano pepper  (@ Celinda's in Rancho Santa Margarita, CA)  ",33.63696256,-117.60853489,06059032053,0.0,unhealthy,0,06059
4,cheese,"HAMBURGUESA A LA DIABLA ! ! ! Flat iron steak &amp; smoked bacon ground together. Chilee morita, Jack cheese, grilled onions &amp; Serrano pepper  (@ Celinda's in Rancho Santa Margarita, CA)  ",33.63696256,-117.60853489,06059032053,0.0,unhealthy,0,06059
5,bacon,"Well...no pancakes and bacon!
Guess the @pinkberry I had in the freezer will have to DO for now!
Simply delicious Original with Honey!
#pinkberry #original #honey ",33.7680875,-118.1751669,06037576601,0.783,unhealthy,0,06037
6,bacon,"Love seeing....enter your pass code in the background....
Yep,this is I woke up after going back to sleep  now where is the pancake  and bacon  ?!?!?
Loving that ",33.7680875,-118.1751669,06037576601,0.8813,unhealthy,0,06037
7,bacon,"This and a few more hours of sleep....
Might be hitting up @ThePotholder before they close today....
Need some pancakes and bacon in my life TODAY!!!! Still ",33.7680875,-118.1751669,06037576601,0.0,unhealthy,0,06037
8,pancake,"Love seeing....enter your pass code in the background....
Yep,this is I woke up after going back to sleep  now where is the pancake  and bacon  ?!?!?
Loving that ",33.7680875,-118.1751669,06037576601,0.8813,unhealthy,0,06037
9,bacon,"New  in my Repertoire!!!!
Cherrywod smoked sea salt sauteed mushroom &amp; brown sugar roasted Bacon w/
Garlic Marzano sauce on a Garlicky Crust! #Win #Yum @ Hauf ",29.50307025,-98.68740387,48029181715,0.0,unhealthy,0,48029
10,sugar,"New  in my Repertoire!!!!
Cherrywod smoked sea salt sauteed mushroom &amp; brown sugar roasted Bacon w/
Garlic Marzano sauce on a Garlicky Crust! #Win #Yum @ Hauf ",29.50307025,-98.68740387,48029181715,0.0,unhealthy,0,48029
11,bacon,"Grilled asparagus up next with apple cured bacon
@biggreenegg #clevelandindians party #grilling
#grillporn#igchef #chefsofinstagram
 #PRIVATECHEFLIFE #privatedinner
#privatechef ",40.0,-100.0,20137951700,0.4019,unhealthy,0,20137
12,bread,"So here we have buttery pretzel Dijon  crusted ahi tuna over roasted cauliflower with purple cabbage white balsamic slaw and tostones ... banana bread beer
#ahi
#tostones #bananabreadbeer ",40.0,-100.0,20137951700,0.4767,unhealthy,0,20137
13,butter,Time for dessert. Got to go red for the Cleveland Indians so I went with an all butter pound cake with Kirsch de glazed black cherries topped with white chocolate cheesecake ice ,40.0,-100.0,20137951700,0.0,unhealthy,0,20137
14,cake,Time for dessert. Got to go red for the Cleveland Indians so I went with an all butter pound cake with Kirsch de glazed black cherries topped with white chocolate cheesecake ice ,40.0,-100.0,20137951700,0.0,unhealthy,0,20137
