field,longname
CensusTract,Census tract
County,County
GroupQuartersFlag,"Group quarters, tract with high share"
HUNVFlag,"Vehicle access, tract with low rate"
LA1and10,Low access tract at 1 mile for urban areas or 10 miles for rural areas
LA1and20,Low access tract at 1 mile for urban areas or 20 miles for rural areas
LAhalfand10,Low access tract at 1/2 mile for urban areas or 10 miles for rural areas
lahunv1,"Vehicle access, housing units without and low access at 1 mile, number"
lahunv10,"Vehicle access, housing units without and low access at 10 miles, number"
lahunv10share,"Vehicle access, percentage of housing units without and low access at 10 miles"
lahunv1share,"Vehicle access, housing units without and low access at 1 mile, share"
lahunv20,"Vehicle access, housing units without and low access at 20 miles, number"
lahunv20share,"Vehicle access, housing units without and low access at 20 miles, share"
lahunvhalf,"Vehicle access, housing units without and low access at 1/2 mile, number"
lahunvhalfshare,"Vehicle access, housing units without and low access at 1/2 mile, share"
lakids1,"Low access, children age 0-17 at 1 mile, number"
lakids10,"Low access, children age 0-17 at 10 miles, number"
lakids10share,"Low access, children age 0-17 at 10 miles, share"
lakids1share,"Low access, children age 0-17 at 1 mile, share"
lakids20,"Low access, children age 0-17 at 20 miles, number"
lakids20share,"Low access, children age 0-17 at 20 miles, share"
lakidshalf,"Low access, children age 0-17 at 1/2 mile, number"
lakidshalfshare,"Low access, children age 0-17 at 1/2 mile, share"
lalowi1,"Low access, low-income people at 1 mile, number"
lalowi10,"Low access, low-income people at 10 miles, number"
lalowi10share,"Low access, low-income people at 10 miles, share"
lalowi1share,"Low access, low-income people at 1 mile, share"
lalowi20,"Low access, low-income people at 20 miles, number"
lalowi20share,"Low access, low-income people at 20 miles, share"
lalowihalf,"Low access, low-income people at 1/2 mile, number"
lalowihalfshare,"Low access, low-income people at 1/2 mile, share"
lapop1,"Low access, people at 1 mile, number"
lapop10,"Low access, people at 10 miles, number"
lapop10share,"Low access, people at 10 miles, share"
lapop1share,"Low access, people at 1 mile, share"
lapop20,"Low access, people at 20 miles, number"
lapop20share,"Low access, people at 20 miles, share"
lapophalf,"Low access, people at 1/2 mile, number"
lapophalfshare,"Low access, people at 1/2 mile, share"
laseniors1,"Low access, seniors age 65+ at 1 mile, number"
laseniors10,"Low access, seniors age 65+ at 10 miles, number"
laseniors10share,"Low access, seniors age 65+ at 10 miles, share"
laseniors1share,"Low access, seniors age 65+ at 1 mile, share"
laseniors20,"Low access, seniors age 65+ at 20 miles, number"
laseniors20share,"Low access, seniors age 65+ at 20 miles, share"
laseniorshalf,"Low access, seniors age 65+ at 1/2 mile, number"
laseniorshalfshare,"Low access, seniors age 65+ at 1/2 mile, share"
LATracts_half,Low access tract at 1/2 mile
LATracts1,Low access tract at 1 mile
LATracts10,Low access tract at 10 miles
LATracts20,Low access tract at 20 miles
LILATracts_1And10,Low income and low access measured at 1 and 10 miles
LILATracts_1And20,Low income and low access measured at 1 and 20 miles
LILATracts_halfAnd10,Low income and low access measured at 1/2 and 10 miles
LILATracts_Vehicle,Low income and low access using vehicle access
LowIncomeTracts,Low income tract
NUMGQTRS,"Group quarters, tract population residing in, number"
OHU2010,"Housing units, total"
PCTGQTRS,"Group quarters, tract population residing in, share"
POP2010,"Population, tract total"
Rural,Rural tract
State,State
UATYP10,Census urban area
Urban,Urban tract
